year,title,genre,vote_average,award,winner
1929,The Broadway Melody,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",5,Actress,
1929,The Broadway Melody,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",5,Directing,
1929,The Broadway Melody,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",5,Outstanding Picture,1
1934,It Happened One Night,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",7.7,Actor,1
1934,It Happened One Night,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",7.7,Actress,1
1938,You Can't Take It With You,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",7.2,Actress in a Supporting Role,
1939,Gone with the Wind,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",7.7,Actor,
1939,Mr. Smith Goes to Washington,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",7.9,Actor,
1939,Mr. Smith Goes to Washington,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",7.9,Actor in a Supporting Role,
1939,Mr. Smith Goes to Washington,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",7.9,Actor in a Supporting Role,
1939,Gone with the Wind,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",7.7,Actress,1
1939,Gone with the Wind,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",7.7,Actress in a Supporting Role,
1939,Gone with the Wind,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",7.7,Actress in a Supporting Role,1
1939,Gone with the Wind,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",7.7,Special Award,1
1940,Rebecca,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",7.7,Actor,
1940,Rebecca,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",7.7,Actress,
1940,Rebecca,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",7.7,Actress in a Supporting Role,
1941,How Green Was My Valley,"[{""id"": 18, ""name"": ""Drama""}]",6.8,Actor in a Supporting Role,1
1941,How Green Was My Valley,"[{""id"": 18, ""name"": ""Drama""}]",6.8,Actress in a Supporting Role,
1945,The Lost Weekend,"[{""id"": 18, ""name"": ""Drama""}]",7.4,Actor,1
